start_time,away_team,away_team_score,home_team,home_team_score
2004-11-23 01:00:00+00:00,SAN ANTONIO SPURS,90,MEMPHIS GRIZZLIES,93
2004-11-23 01:30:00+00:00,MINNESOTA TIMBERWOLVES,83,DALLAS MAVERICKS,82
2004-11-23 02:00:00+00:00,CHICAGO BULLS,82,PHOENIX SUNS,100
2004-11-23 02:00:00+00:00,NEW ORLEANS HORNETS,76,UTAH JAZZ,75
2004-11-24 00:00:00+00:00,DETROIT PISTONS,89,CHARLOTTE BOBCATS,91
2004-11-24 00:00:00+00:00,BOSTON CELTICS,96,INDIANA PACERS,106
2004-11-24 00:00:00+00:00,TORONTO RAPTORS,86,WASHINGTON WIZARDS,102
2004-11-24 00:30:00+00:00,PORTLAND TRAIL BLAZERS,99,MIAMI HEAT,87
2004-11-24 00:30:00+00:00,ATLANTA HAWKS,88,NEW YORK KNICKS,104
2004-11-24 01:00:00+00:00,SEATTLE SUPERSONICS,103,MINNESOTA TIMBERWOLVES,92
2004-11-24 02:00:00+00:00,NEW JERSEY NETS,88,DENVER NUGGETS,90
2004-11-24 03:00:00+00:00,HOUSTON ROCKETS,96,SACRAMENTO KINGS,102
2004-11-24 03:30:00+00:00,NEW ORLEANS HORNETS,109,GOLDEN STATE WARRIORS,115
2004-11-24 03:30:00+00:00,MILWAUKEE BUCKS,96,LOS ANGELES LAKERS,100
2004-11-25 00:00:00+00:00,DETROIT PISTONS,76,CLEVELAND CAVALIERS,92
2004-11-25 00:00:00+00:00,PORTLAND TRAIL BLAZERS,89,ORLANDO MAGIC,83
2004-11-25 00:00:00+00:00,BOSTON CELTICS,97,PHILADELPHIA 76ERS,110
2004-11-25 00:00:00+00:00,NEW YORK KNICKS,91,TORONTO RAPTORS,114
2004-11-25 00:30:00+00:00,MIAMI HEAT,99,ATLANTA HAWKS,93
2004-11-25 01:00:00+00:00,SEATTLE SUPERSONICS,93,MEMPHIS GRIZZLIES,84
2004-11-25 01:30:00+00:00,DALLAS MAVERICKS,80,SAN ANTONIO SPURS,94
2004-11-25 02:00:00+00:00,MILWAUKEE BUCKS,104,PHOENIX SUNS,111
2004-11-25 02:00:00+00:00,CHICAGO BULLS,101,UTAH JAZZ,99
2004-11-26 01:00:00+00:00,MINNESOTA TIMBERWOLVES,102,INDIANA PACERS,106
2004-11-26 03:30:00+00:00,NEW JERSEY NETS,88,LOS ANGELES CLIPPERS,101
2004-11-26 18:00:00+00:00,PORTLAND TRAIL BLAZERS,83,DALLAS MAVERICKS,92
2004-11-26 18:00:00+00:00,WASHINGTON WIZARDS,114,PHILADELPHIA 76ERS,116
2004-11-27 00:30:00+00:00,ORLANDO MAGIC,117,ATLANTA HAWKS,99
2004-11-27 00:30:00+00:00,CLEVELAND CAVALIERS,98,BOSTON CELTICS,96
2004-11-27 01:00:00+00:00,MIAMI HEAT,77,DETROIT PISTONS,78
2004-11-27 01:00:00+00:00,CHARLOTTE BOBCATS,77,INDIANA PACERS,82
2004-11-27 01:00:00+00:00,MEMPHIS GRIZZLIES,90,MINNESOTA TIMBERWOLVES,115
2004-11-27 02:00:00+00:00,SAN ANTONIO SPURS,89,DENVER NUGGETS,75
2004-11-27 02:00:00+00:00,NEW ORLEANS HORNETS,86,PHOENIX SUNS,95
2004-11-27 02:00:00+00:00,HOUSTON ROCKETS,80,UTAH JAZZ,90
2004-11-27 03:30:00+00:00,LOS ANGELES CLIPPERS,98,GOLDEN STATE WARRIORS,87
2004-11-27 03:30:00+00:00,SACRAMENTO KINGS,109,LOS ANGELES LAKERS,106
2004-11-27 03:30:00+00:00,NEW JERSEY NETS,79,SEATTLE SUPERSONICS,92
2004-11-27 18:00:00+00:00,TORONTO RAPTORS,102,NEW YORK KNICKS,108
2004-11-28 00:00:00+00:00,ATLANTA HAWKS,92,CHARLOTTE BOBCATS,107
