start_time,away_team,away_team_score,home_team,home_team_score
2006-11-19 00:30:00+00:00,PORTLAND TRAIL BLAZERS,86,NEW JERSEY NETS,68
2006-11-19 00:30:00+00:00,BOSTON CELTICS,122,NEW YORK KNICKS,118
2006-11-19 01:00:00+00:00,NEW ORLEANS/OKLAHOMA CITY HORNETS,99,MINNESOTA TIMBERWOLVES,96
2006-11-19 01:30:00+00:00,MEMPHIS GRIZZLIES,84,DALLAS MAVERICKS,89
2006-11-19 01:30:00+00:00,INDIANA PACERS,102,MILWAUKEE BUCKS,100
2006-11-19 02:00:00+00:00,TORONTO RAPTORS,109,DENVER NUGGETS,117
2006-11-19 02:00:00+00:00,PHOENIX SUNS,117,UTAH JAZZ,120
2006-11-19 03:30:00+00:00,SEATTLE SUPERSONICS,95,GOLDEN STATE WARRIORS,107
2006-11-19 03:30:00+00:00,PHILADELPHIA 76ERS,97,LOS ANGELES CLIPPERS,103
2006-11-20 01:00:00+00:00,CHICAGO BULLS,72,LOS ANGELES LAKERS,82
2006-11-20 02:00:00+00:00,SAN ANTONIO SPURS,108,SACRAMENTO KINGS,99
2006-11-21 00:00:00+00:00,DALLAS MAVERICKS,93,CHARLOTTE BOBCATS,85
2006-11-21 00:30:00+00:00,HOUSTON ROCKETS,97,NEW YORK KNICKS,90
2006-11-21 01:00:00+00:00,ORLANDO MAGIC,86,MEMPHIS GRIZZLIES,95
2006-11-21 02:00:00+00:00,TORONTO RAPTORS,96,UTAH JAZZ,101
2006-11-21 03:00:00+00:00,SAN ANTONIO SPURS,107,PORTLAND TRAIL BLAZERS,98
2006-11-21 03:00:00+00:00,NEW JERSEY NETS,87,SEATTLE SUPERSONICS,99
2006-11-21 03:30:00+00:00,PHOENIX SUNS,113,GOLDEN STATE WARRIORS,110
2006-11-22 00:00:00+00:00,MEMPHIS GRIZZLIES,94,CLEVELAND CAVALIERS,97
2006-11-22 00:00:00+00:00,MILWAUKEE BUCKS,88,INDIANA PACERS,93
